prot7005-prot20631,0.191
prot11642-prot20625,0.189
prot5080-prot20603,0.188
prot7086-prot20628,0.188
prot17969-prot20628,0.187
prot4211-prot20608,0.186
prot1433-prot20608,0.186
prot1450-prot20608,0.182
prot18352-prot20627,0.182
prot5146-prot20624,0.179
prot11834-prot20627,0.177
prot211-prot20608,0.174
prot20042-prot20631,0.170
prot11555-prot20627,0.170
prot14231-prot20623,0.168
prot2220-prot20631,0.168
prot3590-prot20627,0.167
prot5232-prot20609,0.166
prot4794-prot20601,0.166
prot2522-prot20631,0.164
prot3354-prot20601,0.162
prot20215-prot20603,0.162
prot5940-prot20631,0.161
prot19791-prot20608,0.156
prot13244-prot20631,0.156
prot16501-prot20631,0.156
prot3316-prot20628,0.155
prot1434-prot20608,0.154
prot4962-prot20601,0.154
prot18788-prot20631,0.154
prot6679-prot20631,0.153
prot7702-prot20628,0.153
prot9639-prot20631,0.151
prot12135-prot20631,0.150
prot1453-prot20608,0.149
prot13337-prot20631,0.149
prot17173-prot20631,0.148
prot1999-prot20601,0.147
prot17143-prot20631,0.146
prot2076-prot20631,0.145
prot1781-prot20631,0.140
prot36-prot20601,0.139
prot17156-prot20621,0.138
prot4699-prot20624,0.136
prot7075-prot20631,0.135
prot3360-prot20601,0.135
prot19733-prot20631,0.134
prot4733-prot20631,0.133
prot15485-prot20631,0.129
prot7092-prot20619,0.129
prot18734-prot20601,0.128
prot18939-prot20619,0.128
prot7122-prot20631,0.127
prot8678-prot20601,0.126
prot4930-prot20601,0.126
prot1417-prot20627,0.124
prot16683-prot20631,0.122
prot11710-prot20631,0.122
prot3965-prot20627,0.121
prot7554-prot20631,0.119
prot8106-prot20612,0.112
prot11490-prot20624,0.111
prot5527-prot20623,0.111
prot19201-prot20601,0.111
prot20540-prot20601,0.108
prot4586-prot20601,0.107
prot6457-prot20603,0.107
prot10373-prot20631,0.105
prot4783-prot20606,0.103
prot7368-prot20628,0.101
prot4248-prot20628,0.101
prot13917-prot20631,0.099
prot11552-prot20627,0.099
