node,name
prot423,TEX48
prot424,LOC102723971
prot425,SPEM3
prot426,SMIM27
prot427,ATP6V1FNB
prot428,MARCOL
prot429,ENSG00000284684
prot430,GOLGA6L7
prot431,FAM236B
prot432,REELD1
prot433,CTXND2
prot434,ENSG00000277639
prot435,ENSG00000226690
prot436,FAM237B
prot437,CCDC194
prot438,TEX54
prot439,PRSS51
prot440,C13orf42
prot441,IQCM
prot442,FAM240A
prot443,TMEM238L
prot444,TCAF2C
prot445,ETDC
prot446,C11orf97
prot447,C2orf92
prot448,SPAAR
prot449,CCDC200
prot450,FAM240C
prot451,MDFIC2
prot452,SMIM36
prot453,SMIM35
prot454,LITAFD
prot455,ENSG00000283536
prot456,SMIM31
prot457,FAM240B
prot458,MBD3L2B
prot459,TMEM269
prot460,ENSG00000283205
prot461,EXOC1L
prot462,SMIM39
prot463,ENSG00000284298
prot464,SMIM33
prot465,PRRT1B
prot466,SERTM2
prot467,HSFX3
prot468,LINC00672
prot469,LOC101059915
prot470,PVALEF
prot471,TRBV7-6
prot472,TRBV6-4
prot473,TRBV7-8
prot474,TRDV1
prot475,TRBV2
prot476,TRBV12-5
prot477,TRBV7-4
prot478,TRBV7-2
prot479,CHRNA7
prot480,ENSG00000284526
prot481,TAF11L7
prot482,THSD8
prot483,KDM4F
prot484,TAF11L4
prot485,ENSG00000284188
prot486,DUXB
prot487,GNG14
prot488,TAF11L13
prot489,ENSG00000284484
prot490,TAF11L14
prot491,ENSG00000283963
prot492,CPHXL
prot493,TAF11L12
prot494,TAF11L11
prot495,SSU72P7
prot496,SSU72P5
prot497,HSPA14
prot498,ERFL
prot499,SSU72P4
prot500,SSU72P2
prot501,ENSG00000283763
prot502,SSU72P3
prot503,ZNF722P
prot504,ENSG00000284244
prot505,KANTR
prot506,GSTT4
prot507,TLE7
prot508,TAF11L9
prot509,SSU72P8
prot510,ENSG00000284434
prot511,PERCC1
prot512,ENSG00000266826
prot513,ENSG00000284476
prot514,ENSG00000281310
prot515,ENSG00000288148
prot516,LINC02218
prot517,FOXL3
prot518,ENSG00000284169
prot519,TAF11L3
prot520,PMIS2
prot521,IGHD6-13
prot522,IGHD6-19
prot523,ENSG00000180042
prot524,SCYGR4
prot525,SCYGR10
prot526,SCYGR1
prot527,SCYGR7
prot528,ENSG00000284638
prot529,SCYGR5
prot530,TMEM271
prot531,SCYGR3
prot532,SCYGR6
prot533,SCYGR2
prot534,SCYGR8
prot535,SMIM38
prot536,ENSG00000226490
prot537,RPS27AP5
prot538,HNRNPA1P48
prot539,OR5D3P
prot540,ENSG00000284976
prot541,OOSP4B
prot542,ENSG00000284895
prot543,ENSG00000284844
prot544,H2BE1
prot545,ENSG00000284779
prot546,TINCR
prot547,ENSG00000284797
prot548,B3GNT10
prot549,SMIM41
prot550,ENSG00000284555
prot551,ENSG00000285133
prot552,ENSG00000284912
prot553,OR5BS1P
prot554,OR2A1
prot555,LOC112268384
prot556,OR2A42
prot557,OOSP4A
prot558,OOSP3
prot559,ENSG00000285408
prot560,FOXO3B
prot561,KIR2DS5
prot562,LOC112267897
prot563,LOC647264
prot564,MCTS2P
prot565,TRIM51GP
prot566,ENSG00000285946
prot567,OR51C1P
prot568,LOC102724657
prot569,RAMACL
prot570,H2AL1RP
prot571,BLACAT1
prot572,TMEM217
prot573,ENSG00000170152
prot574,LOC114841035
prot575,ENSG00000278803
prot576,SPDYE21
prot577,ENSG00000285938
prot578,ENSG00000286224
prot579,FAM246B
prot580,LOC149373
prot581,FAM246A
prot582,SPDYE13
prot583,LOC112577516
prot584,ENSG00000275493
prot585,ENSG00000286131
prot586,SPDYE9P
prot587,ENSG00000204805
prot588,LOC728392
prot589,ENSG00000286265
prot590,TSPY9P
prot591,ENSG00000282168
prot592,OR2A14
prot593,TRBV4-2
prot594,TRBV3-1
prot595,TRBV4-1
prot596,TRBV5-1
prot597,TRBV11-2
prot598,TRBV4-3
prot599,ENSG00000282936
prot600,ENSG00000287585
prot601,LINC00634
prot602,TRBV5-5
prot603,TRBV5-6
prot604,TRBV5-8
prot605,TRBV11-3
prot606,TRBV14
prot607,TRBV28
prot608,TRBV29-1
prot609,TRBC2
prot610,ENSG00000283716
prot611,ENSG00000288136
prot612,ENSG00000288460
prot613,ENSG00000288316
prot614,ENSG00000263264
prot615,ENSG00000285976
prot616,NFILZ
prot617,ENSG00000288396
prot618,TRGJ2
prot619,LOC112267881
prot620,GLRA4
prot621,ENSG00000288529
prot622,SPDYE17
prot623,ENSG00000288570
prot624,FLRT1
prot625,ENSG00000288593
prot626,TUG1
prot627,KANSL1L
prot628,SLC12A8
prot629,RBM47
prot630,TTC26
prot631,FER1L5
prot632,TMEM129
prot633,E2F8
prot634,UBA6
prot635,ESYT2
prot636,ESYT3
prot637,TRAV38-2DV8
prot638,TRDV2
prot639,TRDV3
prot640,MED19
prot641,UHRF1BP1L
prot642,POTEB3
prot643,IGLC7
prot644,SHTN1
prot645,TRAJ40
prot646,TRAJ34
prot647,TRAJ14
prot648,TRAJ10
prot649,TRAJ9
prot650,PLSCR5
prot651,DHRS12
prot652,SLC5A10
prot653,TMEM223
prot654,DAPL1
prot655,CIB4
prot656,TLDC2
prot657,SHISA3
prot658,TMEM82
prot659,FEZF1
prot660,ANKRD20A5P
prot661,GXYLT2
prot662,TMEM120B
prot663,TMEM72
prot664,CLRN2
prot665,TMEM30CP
prot666,SLC66A1L
prot667,LNP1
prot668,ARHGAP10
prot669,CCDC189
prot670,IRGM
prot671,FAM170A
prot672,KRTAP23-1
prot673,ANO9
prot674,SLC22A23
prot675,BICDL2
prot676,ODAM
prot677,ARHGEF37
prot678,FAM168B
prot679,PXDNL
prot680,MEX3A
prot681,ILVBL
prot682,TSPAN11
prot683,ERICH2
prot684,UBE2QL1
prot685,C20orf202
prot686,C1orf226
prot687,NDUFAF8
prot688,SYCE3
prot689,IGSF23
prot690,PLEKHG3
prot691,ELOVL7
prot692,MT1DP
prot693,GAGE12C
prot694,NUTM2F
prot695,PRSS38
prot696,SSC5D
prot697,FSD2
prot698,PLAC8L1
prot699,-
prot700,SH3PXD2B
prot701,FAM92A
prot702,ZBTB7C
prot703,MACROD2
prot704,ZC3H12D
prot705,SERTM1
prot706,FRMD3
prot707,ANKRD18B
prot708,MAGEB16
prot709,PTPDC1
prot710,TTC24
prot711,PIPSL
prot712,BCLAF3
prot713,DYTN
prot714,CCDC78
prot715,IGKV2-29
prot716,HFM1
prot717,ZNF320
prot718,WDR27
prot719,TMEM213
prot720,NBAS
prot721,TARS3
